Pais,Codigo ISO pais,Departamento/Estado,Ciudad_Migrada,Oficina de registro,Grupo edad,Edades,Area Conocimiento,Sub Area Conocimiento,Nivel Academico,Estado civil,Genero,Etnia de la persona,Estatura CM,Pais de Nacimiento,Departamento/Estado.1,Ciudad_Origen,x inicial,y inicial,Fecha de Registro,Cantidad de personas,concat,COMPARATIVO,Coordenada X,Coordenada Y,Mes_Año,Año
CANADA,CAN,ALBERTA,CALGARY,C. CALGARY,ADULTO,45,NO INDICA,COCINA Y CULINARIA,NO INDICA,UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,56.130.366,-106.346.771,2021-11-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,11-2021,2021
ESTADOS UNIDOS,USA,NEW JERSEY,JERSEY CITY,C. NEWARK,ADULTO,33,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2022-05-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,05-2022,2022
ESTADOS UNIDOS,USA,CALIFORNIA,POMONA,C. LOS ANGELES,ADULTO,31,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,NARIÑO,PASTO,3.709.024,-95.712.891,2023-03-01,1,COLOMBIANARIÑOPASTO,COLOMBIA,1.2140275,-77.2785096,03-2023,2023
ESTADOS UNIDOS,USA,FLORIDA,HIALEAH,C. MIAMI,ADULTO MAYOR,60,NINGUNA,NINGUNA,NINGUNO,DIVORCIADO,MASCULINO,NINGUNA,-1,COLOMBIA,SANTANDER,RIONEGRO,3.709.024,-95.712.891,2024-09-01,1,COLOMBIASANTANDERRIONEGRO,COLOMBIA,7.4792888,-73.3827006,09-2024,2024
ESTADOS UNIDOS,USA,FLORIDA,LUTZ,C. ORLANDO,ADULTO,50,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2022-02-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,02-2022,2022
ESTADOS UNIDOS,USA,MASSACHUSETTS,REVERE,C. BOSTON,ADULTO,43,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2024-08-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,08-2024,2024
ESTADOS UNIDOS,USA,CALIFORNIA,LOS ANGELES,C. LOS ANGELES,ADULTO,49,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-05-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,05-2023,2023
ESTADOS UNIDOS,USA,CALIFORNIA,MILPITAS,C. SAN FRANCISCO,ADULTO,32,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,COLOMBIA,HUILA,NEIVA,3.709.024,-95.712.891,2022-03-01,1,COLOMBIAHUILANEIVA,COLOMBIA,3.0332554,-75.2794303,03-2022,2022
ESTADOS UNIDOS,USA,NEW JERSEY,WEST NEW YORK,C. NEWARK,ADULTO,31,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,COLOMBIA,CALDAS,MANZANARES,3.709.024,-95.712.891,2022-06-01,1,COLOMBIACALDASMANZANARES,COLOMBIA,5.253198,-75.1544544,06-2022,2022
CANADA,CAN,ONTARIO,HAMILTON,C. TORONTO,ADULTO,38,"INGENIERIA, ARQUITECTURA Y AFINES","INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES",NO INDICA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,56.130.366,-106.346.771,2021-04-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,04-2021,2021
ESTADOS UNIDOS,USA,FLORIDA,LUTZ,C. ORLANDO,ADULTO,45,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-11-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,11-2023,2023
ESTADOS UNIDOS,USA,NEW YORK,GREENPORT,C. NUEVA YORK,ADULTO MAYOR,62,"INGENIERIA, ARQUITECTURA Y AFINES",ARQUITECTURA,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2022-09-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,09-2022,2022
ESTADOS UNIDOS,USA,NORTH CAROLINA,NORTH CAROLINA,C. ATLANTA,ADULTO,43,NINGUNA,NINGUNA,NINGUNO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2022-12-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,12-2022,2022
ESTADOS UNIDOS,USA,NEW YORK,QUEENS,C. NUEVA YORK,ADULTO,29,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2024-11-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,11-2024,2024
